ID,filename,session,trial,visStimLeft,visStimRight,correctKey,leftCorrect,rightCorrect,secondStim,mod2Type,mod2Stim,frequency,rewardAccurate,stimPairLeft,stimPairRight,pCorrectLeft,pCorrectRight,key,reactionTime,choiceLeft,choiceRight,choiceAccurate,reward,chosenPair,otherPair,triplet,surprise,0A belief,1A belief,2A belief,3A belief,0B belief,1B belief,2B belief,3B belief,0C belief,1C belief,2C belief,3C belief,0D belief,1D belief,2D belief,3D belief,beliefPair,beliefOtherPair,beliefPairNorm,beliefOtherPairNorm,prob,lik,rewardPE,update2,fitCBCsimpleRW_CBCsimpleSigmoid_startBelief,fitCBCsimpleRW_CBCsimpleSigmoid_alpha1,fitCBCsimpleRW_CBCsimpleSigmoid_beta,fit_CBCsimpleRW_CBCsimpleSigmoid_NLL
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,31,0,2,z,0,1,2,aud,C,27,1,0C,2C,0,1,z,2.05611799999997,0,1,1,1,2C,0C,C02,3.8286413964891,0.664295819526884,0.5,0.5,0.5,0.5,0.827815070208193,0.5,0.5,0.5,0.416702398278653,0.683264084075945,0.416702398278653,0.5,0.416702398278653,0.416702398278653,0.495761464283982,0.683264084075945,0.5,0.577440060313781,0.422559939686219,0.910780458720697,0.910780458720697,0.316735915924055,0.0527666843509762,0.5,0.166595203442695,14.9999998788953,15.617384374329
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,32,3,2,b,1,0,3,aud,D,63,1,3D,2D,1,0,b,1.89630200000011,1,0,1,1,3D,2D,D32,3.15700042115011,0.664295819526884,0.5,0.5,0.5,0.5,0.827815070208193,0.5,0.5,0.5,0.416702398278653,0.736030768426921,0.416702398278653,0.5,0.416702398278653,0.416702398278653,0.495761464283982,0.495761464283982,0.416702398278653,0.543321751824392,0.456678248175608,0.785776500999367,0.785776500999367,0.504238535716018,0.0840037214412565,0.5,0.166595203442695,14.9999998788953,15.617384374329
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,33,0,1,z,0,1,1,aud,B,63,1,0B,1B,0,1,z,1.24876840000024,0,1,1,1,1B,0B,B01,2.77258872223978,0.664295819526884,0.5,0.5,0.5,0.5,0.827815070208193,0.5,0.5,0.5,0.416702398278653,0.736030768426921,0.416702398278653,0.5,0.416702398278653,0.416702398278653,0.579765185725239,0.827815070208193,0.5,0.623441538495565,0.376558461504435,0.975949290347806,0.975949290347806,0.172184929791807,0.0286851834084322,0.5,0.166595203442695,14.9999998788953,15.617384374329
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,34,1,0,z,0,1,0,aud,A,63,1,1A,0A,0,1,z,1.3421986000003,0,1,1,1,0A,1A,A10,2.50552593699074,0.664295819526884,0.5,0.5,0.5,0.5,0.856500253616625,0.5,0.5,0.5,0.416702398278653,0.736030768426921,0.416702398278653,0.5,0.416702398278653,0.416702398278653,0.579765185725239,0.664295819526884,0.5,0.57055587453438,0.42944412546562,0.892513484424164,0.892513484424164,0.335704180473116,0.0559267062424818,0.5,0.166595203442695,14.9999998788953,15.617384374329
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,35,3,2,b,1,0,3,aud,D,63,0,3D,2D,0,1,b,2.72871000000032,1,0,1,0,3D,2D,D32,2.81341071676004,0.720222525769366,0.5,0.5,0.5,0.5,0.856500253616625,0.5,0.5,0.5,0.416702398278653,0.736030768426921,0.416702398278653,0.5,0.416702398278653,0.416702398278653,0.579765185725239,0.579765185725239,0.416702398278653,0.581820417474789,0.418179582525211,0.920898100700224,0.920898100700224,-0.579765185725239,-0.0965860990648878,0.5,0.166595203442695,14.9999998788953,15.617384374329
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,36,0,2,z,0,1,2,aud,C,27,1,0C,2C,0,1,z,1.89188760000025,0,1,1,1,2C,0C,C02,3.23867845216438,0.720222525769366,0.5,0.5,0.5,0.5,0.856500253616625,0.5,0.5,0.5,0.416702398278653,0.736030768426921,0.416702398278653,0.5,0.416702398278653,0.416702398278653,0.483179086660351,0.736030768426921,0.5,0.595479325618776,0.404520674381224,0.94605724791946,0.94605724791946,0.263969231573079,0.0439760078365289,0.5,0.166595203442695,14.9999998788953,15.617384374329
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,37,1,0,z,0,1,0,aud,A,63,1,1A,0A,0,1,z,1.17191539999976,0,1,1,1,0A,1A,A10,2.34180580614733,0.720222525769366,0.5,0.5,0.5,0.5,0.856500253616625,0.5,0.5,0.5,0.416702398278653,0.78000677626345,0.416702398278653,0.5,0.416702398278653,0.416702398278653,0.483179086660351,0.720222525769366,0.5,0.590238674142863,0.409761325857137,0.937447831330554,0.937447831330554,0.279777474230634,0.0466095852381357,0.5,0.166595203442695,14.9999998788953,15.617384374329
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,38,3,1,z,0,1,1,aud,B,27,1,3B,1B,0,1,z,1.44698119999975,0,1,1,1,1B,3B,B31,3.27714473299218,0.766832111007502,0.5,0.5,0.5,0.5,0.856500253616625,0.5,0.5,0.5,0.416702398278653,0.78000677626345,0.416702398278653,0.5,0.416702398278653,0.416702398278653,0.483179086660351,0.856500253616625,0.5,0.63140441834277,0.36859558165723,0.980962668152286,0.980962668152286,0.143499746383375,0.0239063694427134,0.5,0.166595203442695,14.9999998788953,15.617384374329
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,39,2,3,b,1,0,2,aud,C,63,0,2C,3C,0,1,b,2.96182120000003,1,0,1,0,2C,3C,C23,2.60268968544438,0.766832111007502,0.5,0.5,0.5,0.5,0.880406623059338,0.5,0.5,0.5,0.416702398278653,0.78000677626345,0.416702398278653,0.5,0.416702398278653,0.416702398278653,0.483179086660351,0.78000677626345,0.416702398278653,0.651793094643821,0.348206905356179,0.989582466494273,0.989582466494273,-0.78000677626345,-0.12994538757829,0.5,0.166595203442695,14.9999998788953,15.617384374329
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,40,2,3,z,0,1,3,aud,D,63,1,2D,3D,0,1,b,2.35783190000029,1,0,0,0,2D,3D,D23,2.62103882411258,0.766832111007502,0.5,0.5,0.5,0.5,0.880406623059338,0.5,0.5,0.5,0.416702398278653,0.65006138868516,0.416702398278653,0.5,0.416702398278653,0.416702398278653,0.483179086660351,0.416702398278653,0.483179086660351,0.463063642549438,0.536936357450561,0.24822700970643,0.24822700970643,-0.416702398278653,-0.0694206208162909,0.5,0.166595203442695,14.9999998788953,15.617384374329
